ds;USD;País;Último;Máxima;lag_Estadual
2010-12-01;1.704054075846425;21.68752255582042;53108.3246473353;54814.64439062388;19.184031240089812
2011-01-01;1.7380641826388594;22.13381621603119;53629.48840605284;55971.87418340729;19.80565842847735
2011-02-01;1.74937513765502;22.645907265751287;55037.68176339643;56796.28426097908;20.320062265531533
2011-03-01;1.6937847362947824;22.139198826807263;53813.89780392021;57055.13132082813;20.30175973325288
2011-04-01;1.7933041898909539;22.479563389649716;55178.08035610227;57542.342225346976;20.973779502849666
2011-05-01;1.7504953072550538;22.444971623560708;56225.93347728045;59350.69183967241;20.894818486773605
2011-06-01;1.7646659898181272;22.38831195266422;55113.43462719541;60678.06363414606;20.69570327033898
2011-07-01;1.744678132576188;21.88416184392761;54108.625403458806;59758.78662100322;20.73311933962122
2011-08-01;1.7168643304809181;21.490210132088666;53650.30042510394;57285.59990387211;19.81854397657795
2011-09-01;1.7857720385003906;21.801166530008004;52897.99896776268;57092.287954369574;19.524444829154916
2011-10-01;1.843463467568334;21.859789466187525;54347.779664483984;56763.18238266448;19.61035908816355
2011-11-01;1.7449588666242104;22.14544971389324;53180.57212413187;56549.17360192739;19.68322356390023
2011-12-01;1.758976186870048;22.652596016998846;55584.744055117604;57367.2261437094;20.081032200941852
2012-01-01;1.823528784399564;23.253632653199926;56328.698616127775;58794.41935172673;20.78875234569169
2012-02-01;1.9276200404912038;24.111631324787712;57826.01046727761;59668.04483399367;21.536320212824155
2012-03-01;1.8765308176400302;24.28457276864294;58049.068531078316;61177.14643385135;22.09583592662715
2012-04-01;1.8888815851530916;23.89678369269663;57319.986047795755;59746.71051070976;22.01723130377666
2012-05-01;1.952666476479487;23.465199342876716;55938.69326628465;59790.83688722971;21.752443859640863
2012-06-01;2.0266724793069613;23.078340898343093;55985.83471004954;60652.845696529934;21.58016508930863
2012-07-01;1.9988452659446392;22.671936426341627;55055.21197065171;61459.37058008428;21.458228674175434
2012-08-01;1.9079632836908091;22.312206866223253;53688.58375345145;57470.63385584519;20.490743988970866
2012-09-01;1.9266848155058556;22.78171764792198;53065.2734774709;56766.49113490571;20.53170033196085
2012-10-01;1.9916816613760104;23.193549378919883;53691.71799824652;56637.82783976483;20.692687393942215
2012-11-01;2.0697608568856305;23.5831245167007;53119.178902349166;55993.34088634266;20.890504437797876
2012-12-01;2.1303739419511634;23.8414111867411;55256.574263178;57239.27533396875;21.084556626015402
2013-01-01;2.1683188843130172;23.980723948935168;54303.80869811676;56795.77404001169;21.53496941084789
2013-02-01;2.0464601498521264;23.76463041852998;54275.68494453561;56211.60630150728;21.5590354517375
2013-03-01;2.1458661077614627;24.932557340842195;55500.193830069366;58645.16847910169;22.730054644901813
2013-04-01;2.197641519657432;24.776217879168453;55090.40254738707;57453.30854914708;22.894338048163434
2013-05-01;2.2364202313306523;24.475226099361667;54185.6427293502;57723.11656260053;22.69231101603411
2013-06-01;2.3003517226837813;24.200901699424627;53503.11972688339;58376.51224238653;22.511674128464957
2013-07-01;2.284377103141325;23.765329550550135;52199.10366430838;58239.36850926238;22.44405263473561
2013-08-01;2.2189145923129265;23.395923095570843;50931.80383545362;54526.67652722565;21.496595130195622
2013-09-01;2.259703090208372;23.823108026541135;50063.253695497115;53778.41749589723;21.43745776284467
2013-10-01;2.3281953521676875;24.12431222432344;50770.65697799517;53371.86254120071;21.582117494090426
2013-11-01;2.352252173816132;24.48396455485761;49796.42319296899;52650.05702931262;21.746488086123676
2013-12-01;2.40052511803833;24.829388005511813;51816.96262245724;53533.25129212963;22.01596370804101
2014-01-01;2.4507708445967995;25.13048819834964;51224.974057173604;53489.627429833396;22.562381533398145
2014-02-01;2.406710763193944;25.293267758354812;51644.07644865982;53321.740112435946;22.846177491182942
2014-03-01;2.43892038346161;25.646856982299518;51387.97284951591;54397.734991583064;23.446767690978067
2014-04-01;2.5253558410204198;25.757403598304247;51571.51708291686;53736.54750951251;23.88789955955297
2014-05-01;2.534009526244387;25.61217771916307;51375.54195590261;54489.49732302614;23.77358925170448
2014-06-01;2.5835870404308197;25.472101866070368;50201.74180180647;55189.33092457538;23.610602394982465
2014-07-01;2.575648213511822;25.027296790277102;48771.69539215849;54371.498480814524;23.62184844825136
2014-08-01;2.5351556847884327;24.670596980350414;47700.78852815595;51052.67994778879;22.718612884747184
2014-09-01;2.5965692610198494;25.077136505886184;46682.793734524406;50363.33810435558;22.5811107563371
2014-10-01;2.666382893940651;25.291743498198464;47561.67528846807;49782.09717847985;22.733006408071233
2014-11-01;2.6354411199763;25.64898256199302;46282.69653749734;49092.36129317899;22.889078321831594
2014-12-01;2.671933302355289;26.10861451085821;48289.19469384689;49725.08065093136;23.25879989476919
2015-01-01;2.73494446214398;26.59596157484799;48156.561598273176;50193.82367286283;23.924411018241393
2015-02-01;2.767864073686691;27.149105967317787;49000.87839552269;50421.868187263564;24.48279336945815
2015-03-01;2.7317911685688916;26.690256813285153;47267.786575524464;50142.0624797974;24.51718473715444
2015-04-01;2.852919278720229;27.083608441569684;48068.09256784918;50032.90782051192;25.247544181726205
2015-05-01;2.8310219992015897;27.100294480747888;48570.25869561845;51264.12946986517;25.225040915626245
2015-06-01;2.8668013383192354;27.096621875291792;46893.883285669595;51995.13570052896;25.08426537416492
2015-07-01;2.8677250841945785;26.64374957182164;45343.38706852266;50498.7307224088;25.17813919342338
2015-08-01;2.852371036481634;26.302784837187804;44469.71012705063;47583.05619509008;24.321889650487577
2015-09-01;2.9337384989141557;26.666728558056963;43302.05674309329;46947.25643588377;24.092475387172854
2015-10-01;3.003487754834077;26.77662954870154;44349.88396243714;46189.93685478286;24.240987921122933
2015-11-01;2.917442908303486;27.11527711935875;42767.32449546715;45533.44026433889;24.378537280968803
2015-12-01;2.94351805540042;27.673701476929836;44769.542949076094;45923.27879672612;24.83894419295229
2016-01-01;3.0205304073435926;28.32772543607995;45098.14558346638;46907.98419503737;25.611349221809643
2016-02-01;3.1295809039074274;29.238711187054758;46345.372218649754;47511.30987306428;26.42359190688478
2016-03-01;3.083130970530758;29.461221189047265;46334.47959655242;48767.5503657339;27.04360986973213
2016-04-01;3.100440978367257;29.12641919667797;45355.31191574605;47066.814641882906;27.029680066809178
