Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2022-04-01;Trigo;94.1273;94.4438;2;1.05575;1.003;1.1435;98200.0
2022-03-01;Trigo;95.6921;95.7739;2;1.006;93675.0;1.36212;93250.0
2022-02-01;Trigo;89.0057;86.4528;2;92800.0;76250.0;95125.0;74000.0
2022-01-01;Trigo;88.7126;85.529;2;76125.0;77162.0;83140.0;73575.0
2021-12-01;Trigo;87.9916;84.3193;2;77075.0;78400.0;82400.0;75100.0
2021-11-01;Trigo;87.4379;84.0226;2;77375.0;77450.0;86325.0;76250.0
2021-10-01;Trigo;87.3113;82.828;2;77275.0;72500.0;78000.0;71275.0
2021-09-01;Trigo;87.0757;82.3831;2;72575.0;72362.0;73310.0;67850.0
2021-08-01;Trigo;86.2675;82.3377;2;72400.0;70525.0;77462.0;70425.0
2021-07-01;Trigo;78.7582;78.1871;2;70350.0;67862.0;71790.0;60960.0
2021-06-01;Trigo;80.3345;81.0717;2;68025.0;67362.0;70400.0;63262.0
2021-05-01;Trigo;86.8749;84.4425;2;66412.0;73325.0;76700.0;63975.0
2021-04-01;Trigo;84.5177;81.4105;2;73530.0;62200.0;76940.0;60138.0
2021-03-01;Trigo;77.8716;78.5283;2;61875.0;66212.0;66862.0;59338.0
2021-02-01;Trigo;75.0924;76.0532;2;66012.0;65700.0;68838.0;62575.0
2021-01-01;Trigo;69.7542;72.0194;2;66262.0;64175.0;69312.0;62575.0
2020-12-01;Trigo;69.5309;70.0093;2;64175.0;57938.0;64438.0;56350.0
2020-11-01;Trigo;75.3144;77.126;2;58100.0;59675.0;62588.0;57950.0
2020-10-01;Trigo;65.6995;66.6685;2;59850.0;57512.0;63762.0;56138.0
2020-09-01;Trigo;59.8474;58.5133;2;57812.0;54188.0;58662.0;53338.0
2020-08-01;Trigo;56.9863;56.196;2;54650.0;52612.0;55175.0;48812.0
2020-07-01;Trigo;56.9056;55.3368;2;53100.0;49050.0;55162.0;47750.0
2020-06-01;Trigo;58.4137;53.5523;2;49075.0;52025.0;52862.0;46825.0
