Data,Estadual,País,USD,Previsão,Cultivo,model
2017-03-01,31.44,29.22,3.13,0.00,Trigo,PROPHET
2017-04-01,31.38,29.76,3.14,0.00,Trigo,PROPHET
2017-05-01,31.78,30.88,3.21,0.00,Trigo,PROPHET
2017-06-01,33.80,32.09,3.30,0.00,Trigo,PROPHET
2017-07-01,35.73,32.85,3.21,0.00,Trigo,PROPHET
2017-08-01,33.71,31.74,3.15,0.00,Trigo,PROPHET
2017-09-01,32.14,30.95,3.13,0.00,Trigo,PROPHET
2017-10-01,32.80,31.10,3.19,0.00,Trigo,PROPHET
2017-11-01,33.53,31.15,3.26,0.00,Trigo,PROPHET
2017-12-01,33.97,31.10,3.29,0.00,Trigo,PROPHET
2018-01-01,33.91,30.99,3.21,0.00,Trigo,PROPHET
2018-02-01,34.55,31.72,3.24,0.00,Trigo,PROPHET
2018-03-01,36.72,35.10,3.28,0.00,Trigo,PROPHET
2018-04-01,40.53,39.13,3.41,0.00,Trigo,PROPHET
2018-05-01,45.40,42.25,3.64,0.00,Trigo,PROPHET
2018-06-01,48.76,42.89,3.77,0.00,Trigo,PROPHET
2018-07-01,47.38,42.70,3.83,0.00,Trigo,PROPHET
2018-08-01,46.57,43.25,3.93,0.00,Trigo,PROPHET
2018-09-01,43.12,41.30,4.12,0.00,Trigo,PROPHET
2018-10-01,42.82,39.38,3.76,0.00,Trigo,PROPHET
2018-11-01,44.76,40.83,3.79,0.00,Trigo,PROPHET
2018-12-01,46.23,41.65,3.89,0.00,Trigo,PROPHET
2019-01-01,47.71,42.43,3.74,0.00,Trigo,PROPHET
2019-02-01,48.36,42.91,3.72,0.00,Trigo,PROPHET
2019-03-01,46.54,42.77,3.85,0.00,Trigo,PROPHET
2019-04-01,45.93,42.11,3.90,0.00,Trigo,PROPHET
2019-05-01,45.74,41.70,4.00,0.00,Trigo,PROPHET
2019-06-01,45.80,42.06,3.86,0.00,Trigo,PROPHET
2019-07-01,45.93,42.39,3.78,0.00,Trigo,PROPHET
2019-08-01,46.24,42.60,4.02,0.00,Trigo,PROPHET
2019-09-01,45.16,40.47,4.12,0.00,Trigo,PROPHET
2019-10-01,45.38,39.88,4.09,0.00,Trigo,PROPHET
2019-11-01,47.21,41.26,4.16,0.00,Trigo,PROPHET
2019-12-01,47.86,42.26,4.11,0.00,Trigo,PROPHET
2020-01-01,49.25,44.87,4.15,0.00,Trigo,PROPHET
2020-02-01,51.69,46.62,4.34,0.00,Trigo,PROPHET
2020-03-01,55.67,48.43,4.88,0.00,Trigo,PROPHET
2020-04-01,58.56,51.78,5.33,0.00,Trigo,PROPHET
2020-05-01,58.41,53.55,5.64,0.00,Trigo,PROPHET
2020-06-01,56.91,55.34,5.20,0.00,Trigo,PROPHET
2020-07-01,56.99,56.20,5.28,57.97,Trigo,PROPHET
2020-08-01,56.99,56.20,5.28,60.79,Trigo,PROPHET
2020-09-01,59.85,58.51,5.46,62.31,Trigo,PROPHET
2020-10-01,65.70,66.67,5.40,69.36,Trigo,PROPHET
2020-11-01,75.31,77.13,5.63,79.48,Trigo,PROPHET
2020-12-01,69.53,70.01,5.42,78.08,Trigo,PROPHET
2021-01-01,69.75,72.02,5.15,76.12,Trigo,PROPHET
2021-02-01,75.09,76.05,5.36,80.61,Trigo,PROPHET
2021-03-01,77.87,78.53,5.42,84.16,Trigo,PROPHET
2021-04-01,84.52,81.41,5.65,87.76,Trigo,PROPHET
2021-05-01,86.87,84.44,5.56,91.86,Trigo,PROPHET
2021-06-01,80.33,81.07,5.29,89.93,Trigo,PROPHET
2021-07-01,78.76,78.19,5.03,85.22,Trigo,PROPHET
2021-08-01,86.27,82.34,5.16,87.84,Trigo,PROPHET
2021-09-01,87.08,82.38,5.25,90.55,Trigo,PROPHET
2021-10-01,87.31,82.83,5.28,91.13,Trigo,PROPHET
2021-11-01,87.44,84.02,5.54,92.37,Trigo,PROPHET
2021-12-01,87.99,84.32,5.56,92.81,Trigo,PROPHET
2022-01-01,88.71,85.53,5.65,93.34,Trigo,PROPHET
2022-02-01,89.01,86.45,5.53,95.45,Trigo,PROPHET
2022-03-01,95.69,95.77,5.20,101.00,Trigo,PROPHET
2022-04-01,94.13,94.44,4.97,102.28,Trigo,PROPHET
2022-05-01,96.72,103.01,4.76,107.73,Trigo,PROPHET
2022-06-01,105.00,109.47,4.96,114.97,Trigo,PROPHET
2022-07-01,108.96,112.15,5.05,119.20,Trigo,PROPHET
2022-08-01,109.50,105.57,5.37,115.91,Trigo,PROPHET
2022-09-01,97.30,95.09,5.14,108.51,Trigo,PROPHET
2022-10-01,92.48,93.37,5.24,102.42,Trigo,PROPHET
2022-11-01,99.18,93.76,5.25,101.01,Trigo,PROPHET
2022-12-01,94.59,87.17,5.27,98.87,Trigo,PROPHET
2023-01-01,91.88,82.92,5.24,94.12,Trigo,PROPHET
2023-02-01,88.79,81.55,5.20,92.52,Trigo,PROPHET
2023-03-01,87.87,81.58,5.17,91.36,Trigo,PROPHET
2023-04-01,81.15,78.03,5.21,87.79,Trigo,PROPHET
2023-05-01,69.91,68.94,5.02,78.73,Trigo,PROPHET
2023-06-01,66.13,65.68,4.98,72.29,Trigo,PROPHET
2023-07-01,66.16,66.41,4.85,71.50,Trigo,PROPHET
2023-08-01,64.14,65.16,4.80,70.06,Trigo,PROPHET
2023-09-01,52.52,56.66,4.90,63.22,Trigo,PROPHET
2023-10-01,50.95,51.50,4.94,54.75,Trigo,PROPHET
2023-11-01,63.58,60.81,5.06,61.23,Trigo,PROPHET
2023-12-01,65.54,64.19,4.90,68.41,Trigo,PROPHET
2024-01-01,65.01,63.47,4.90,69.31,Trigo,PROPHET
2024-02-01,64.38,62.95,4.91,68.76,Trigo,PROPHET
2024-03-01,62.49,61.47,4.96,67.21,Trigo,PROPHET
2024-04-01,62.77,61.79,4.98,67.43,Trigo,PROPHET
2024-05-01,68.07,65.30,5.13,69.61,Trigo,PROPHET
2024-06-01,74.18,69.61,5.13,73.92,Trigo,PROPHET
2024-07-01,74.23,70.38,5.39,76.57,Trigo,PROPHET
2024-08-01,74.39,70.67,5.54,77.31,Trigo,PROPHET
2024-09-01,77.01,71.53,5.55,77.76,Trigo,PROPHET
2024-10-01,0.00,52.27,5.68,56.50,Trigo,PROPHET
2024-11-01,0.00,52.10,5.76,56.55,Trigo,PROPHET
2024-12-01,0.00,52.20,5.82,56.78,Trigo,PROPHET
2025-01-01,0.00,53.24,5.86,56.27,Trigo,PROPHET
2025-02-01,0.00,51.81,5.74,56.61,Trigo,PROPHET
2025-03-01,0.00,53.38,5.84,58.12,Trigo,PROPHET
2025-04-01,0.00,54.42,5.89,59.27,Trigo,PROPHET
2025-05-01,0.00,55.30,5.93,59.91,Trigo,PROPHET
2025-06-01,0.00,55.72,5.99,60.15,Trigo,PROPHET
2025-07-01,0.00,55.78,5.98,60.17,Trigo,PROPHET
2025-08-01,0.00,54.84,5.91,59.38,Trigo,PROPHET
2025-09-01,0.00,54.92,5.95,59.20,Trigo,PROPHET
2025-10-01,0.00,54.57,6.02,58.80,Trigo,PROPHET
2025-11-01,0.00,54.23,6.05,58.65,Trigo,PROPHET
